Input	Target	Prediction
"<p>Determines whether the system sends an end of day transaction (IEND) to Warehouse Labor Management when the operator signs out. Only valid when Warehouse Labor Management is enabled.</p><ul><li><strong>Do not send, no prompt</strong>: The end of day prompt is not displayed to the operator, and the end of day transaction is not sent to Warehouse Labor Management when an operator signs off a voice device.</li><li><strong>Always send, no prompt</strong>: The end of day prompt is not displayed to the operator, but the end of day transaction is always sent to Warehouse Labor Management when an operator signs off a voice device.</li><li><strong>Labor check end of day</strong>: The system checks the&nbsp;<strong>Prompt for End of Day</strong>&nbsp;field in the Warehouse Labor Management integration configuration to determine if a prompt is displayed asking if the operator is done for the day. If the prompt is not displayed, the transaction is not sent. If the prompt is displayed and the operator answers ""Yes,"" then the&nbsp;<strong>WLM Activity</strong>&nbsp;field determines the type of transaction sent to Warehouse Labor Management.</li><li><strong>Labor always prompt</strong>: A prompt asking if the operator is done for the day is always displayed regardless of what the Warehouse Labor Management end of day prompt configuration is set to. This selection can be used to differentiate the prompt behavior voice and RF devices (when the Warehouse Labor Management integration prompt configuration is set to No).</li></ul>"	"<p>Determina si el sistema envía una transacción de fin de día (IEND) a la Gestión de Mano de Obra en Almacén cuando el operador cierra sesión. Solo es válido cuando la Gestión de Mano de Obra en Almacén está habilitada.</p><ul><li><strong>No enviar, sin aviso</strong>: No se muestra el aviso de fin de día al operador y la transacción de fin de día no se envía a la Gestión de Mano de Obra en Almacén cuando un operador cierra sesión en un dispositivo de voz.</li><li><strong>Siempre enviar, sin aviso</strong>: No se muestra el aviso de fin de día al operador, pero la transacción de fin de día siempre se envía a la Gestión de Mano de Obra en Almacén cuando un operador cierra sesión en un dispositivo de voz.</li><li><strong>Verificación de fin de día por Mano de Obra</strong>: El sistema verifica el campo&nbsp;<strong>Solicitar fin de día</strongnbsp;en la configuración de integración de la Gestión de Mano de Obra en Almacén para determinar si se muestra un aviso preguntando si el operador ha terminado por el día. Si el aviso no se muestra, la transacción no se envía. Si el aviso se muestra y el operador responde ""Sí"", entonces el campo&nbsp;<strong>Actividad WLM</strongnbsp;determina el tipo de transacción enviada a la Gestión de Mano de Obra en Almacén.</li><li><strong>Siempre avisar por Mano de Obra</strong>: Siempre se muestra un aviso preguntando si el operador ha terminado por el día, sin importar la configuración del aviso de fin de día en la Gestión de Mano de Obra en Almacén. Esta opción puede usarse para diferenciar el comportamiento del aviso en dispositivos de voz y RF (cuando la configuración del aviso en la integración de la Gestión de Mano de Obra en Almacén está establecida en No).</li></ul>"	"<p>Determina si el sistema envía una transacción de fin de día (IEND) a Warehouse Labor Management cuando el operador cierra sesión. Solo es válido cuando Wareware Labor Manager está habilitado.</p><ul><li><strong>No enviar, sin aviso</strong: No se muestra el aviso de fin del día al operador y la transacción de final de día no se envía a WarEhouse Labo Management cuando un operador cierra la sesión en un dispositivo de voz.<li><listrong><Siempre enviar, no hay aviso<br: El aviso de final del día no está mostrado al operador, pero la transacción del final del días siempre se envía al Wareway Labor Managenment cuando un usuario cierra sesión en una configuración de voz</li><ulstround>Verificación de Mano de Obra</trong>: El sistema verifica el&nbsp;<strong<stroundSolicitar para Final de Día</nbsp; en la configuración de integración de Wareary Laborhouse Management para determinar si se muestra un aviso preguntando si el operador ha terminado para el día. Si el aviso no se muestra, la transacción no se enviará. Si se muestra la indicación y el operador responde ""Sí"",<stron;</bspspsp; <stromp;<wstrong&strong\n;strong;stron <wsp;strondsp;wth;stround;strob>: Si el tipo de transacción de trabajo del almacén está configurado<strond><stron.<strob></stron:<strov>Management</ul></li>: No hay una configuración del aviso de aviso a Warcehouse </helb><strond/strobn. Este aviso siempre está configurado para el operador puede ser utilizado para la configuración del día.<br></ul>: Esta configuración de la configuración para los dispositivos de fin/strovnstrongText <lin, independientemente de la integración de la manipulación de la gestión de fin a Waree.<ul><strov></b><li>Si el aviso siempre se muestra si el aviso a <b>Manejo está configurado por el operador está configurado.<b><ul>No se usa el aviso se muestra en el aviso del día</"
Inventory Mass Update	Actualización Masiva del Inventario	Actualización Masiva del Inventario
Aisle Area	Área de Pasillo	Área de Pasillo
Add and Edit	Agregar y Editar	Agregar y Editar
Count Back Flag	Bandera de Conteo Retroactivo	Bandera de Conteo Retroactivo
Commodity Lookup	Búsqueda de Mercancía	Búsqueda de Mercancía
Manage Searches	Administrar Búsquedas	Administrar Búsquedas
Are you sure you want to cancel?	¿Estás seguro que quieres cancelar?	¿Está seguro de que desea cancelar?
Should the system automatically close the transport equipment and its associated shipment when all shipment’s received quantity matches the expected quantity?	¿Debe el sistema cerrar automáticamente el equipo de transporte y su envío asociado cuando la cantidad recibida del envío coincida con la cantidad esperada?	¿Debe el sistema cerrar automáticamente el equipo de transporte y su envío asociado cuando la cantidad recibida del envío coincida con la cantidad esperada?
Parcel Application	Aplicación de Paquetería	Aplicación de Paquetería
<b>Level</b> indicates a pallet stacked on top of another pallet. The floor level is stack level 1, the next level is level 2, and so on. <b>Reduce by</b> represents the number of pallets by which the stack level of a single pallet width stack is reduced from level 1.	<b>Nivel</b> indica un pallet apilado encima de otro pallet. El nivel del suelo es el nivel 1, el siguiente nivel es el nivel 2, y así sucesivamente. <b>Reducir por</b> representa el número de pallets por los cuales se reduce el nivel de apilamiento de un apilamiento de ancho de pallet desde el nivel 1.	<b>Nivel</b> indica un pallet apilado encima de otro pallet. El nivel del suelo es el nivel 1, el siguiente nivel es el segundo nivel, y así sucesivamente. < b>Reducir por</ b> representa el número de pallets por los cuales se reduce el nivel de apilamiento de un apilador de ancho de palet desde el nivel 1.
Aisle Area	Área de Pasillo	Área de Pasillo
Processing Areas	Áreas de Procesamiento	Áreas de Proceso
Inventory Attribute Text 1	Texto de Atributo de Inventario 1	Atributo de Inventario - Texto 1
Consolidation Code	Código de Consolidación	Código de Consolidación
Work Area Associations	Asociaciones de Área de Trabajo	Asociaciones de Áreas de Trabajo
Configuration/Parcel	Configuración/Paquetería	Configuración/Paquetería
Is the operator allowed to sign off of a voice device while an assignment is in progress?	¿Se le permite al operador desconectarse de un dispositivo de voz mientras una asignación está en curso?	¿Se le permite al operador desconectarse de un dispositivo de voz mientras una asignación está en curso?
Add Inbound Order Line Restriction	Agregar Restricción de Línea de Orden Entrante	Agregar Restricción de Línea de Orden Entrante
Cancel Replen	Cancelar Reabasto	Cancelar Reabasto
Unit Qty	Cnt. Unit	Cnt. Unit
Are you sure you want to reopen the observation?	¿Está seguro de que desea reabrir la observación?	¿Está seguro de que desea reabrir la observación?
Attribute 11	Atributo 11	Atributo 11
Audible Warning	Alerta Sonora	Advertencia Sonora
Apply to Inbound Inventory	Aplicar a Inventario de Entrada	Aplicar a Inventario Entrante
Customer Category	Categoría de Comprador	Categoría de Comprador
Inventory Attribute Integer3	Atributo de Inventario de Entero 3	Atributo de Inventario de Entero 3
What is the maximum number of picks that should be sent to the voice device in a single batch?	¿Cuál es el número máximo de surtidos que se deben enviar al dispositivo de voz en un solo lote?	¿Cuál es la cantidad máxima de surtidos que se deben enviar al dispositivo de voz en un solo lote?
Allow bulk pick processing?	¿Permitir el procesamiento de surtido masivo?	¿Permitir el procesamiento de surtido masivo?
Promo Code	Código de Promoción	Código de Promoción
Change Carrier Level	Cambiar Nivel de Transportista	Cambiar Nivel de Transportista
What is the percentage of popup iterations to decrement during complex cartonization?	¿Cuál es el porcentaje de iteraciones emergentes que deben decrementarse durante la cartonización compleja?	¿Cuál es el porcentaje de iteraciones emergentes a disminuir durante cartonización compleja?
System Setup	Configuración del Sistema	Configuración del Sistema
Distro Flag	Bandera de Distribución	Bandera de Distribución
Put locations in Error Status	Colocar ubicaciones en Estado Error	Poner ubicaciones en Estatus de Error
Allow allocation less than full cases to fulfill orders for this customer?	¿Permitir la asignación de cajas incompletas para completar las órdenes de este comprador?	¿Permitir la asignación de cajas incompletas para completar las órdenes de este comprador?
Cancel Count	Cancelar Conteo	Cancelar Conteo
Configuration/Voice Putaway	Configuración/Almacenaje por Voz	Configuración/Almacenaje por Voz
Field 4	Campo 4	Campo 4
Should the system direct the operator to the location of the inventory that needs to be counted?	¿Debe el sistema dirigir al operador a la ubicación del inventario que necesita ser contado?	¿Debería el sistema dirigir al operador a la ubicación del inventario que necesita ser contado?
Yard Flag	Bandera de Patio	Bandera de Patio
Production Catch Quantity	Cantidad de Captura de Producción	Cantidad Variable de Producción
Automatically Capture Weight From Scale	Capturar el Peso Automáticamente Desde la Balanza.	Capturar el Peso Automáticamente Desde la Balanza.
Order Line Mass Update	Actualización Masiva de Líneas de Orden	Actualización Masiva de Líneas de Orden
Reprint Command	Comando de Reimpresión	Comando de Reimpresión
Are you sure you want to delete the selected media ?	¿Está seguro de que desea eliminar los medios seleccionados?	¿Está seguro de que desea eliminar los medios seleccionados?
Inbound Order Line Quantity	Cantidad de Línea de Orden Entrante	Cantidad de Línea de Orden Entrante
Identified Quantity	Cantidad Identificada	Cantidad Identificada
Stack Height	Altura de Pila	Altura de Pila
How should the operator be prompted for the deposit location?	¿Cómo se le debería solicitar al operador la ubicación depósito?	¿Cómo se debe indicar al operador la ubicación de depósito?
